family,variant,year,roi_%,max_dd_%
Rebalance,Rebal_R1,2021,66.1,0.0
Rebalance,Rebal_R1,2022,-41.6,41.6
Rebalance,Rebal_R1,2023,73.9,0.0
Rebalance,Rebal_R1,2024,25.2,0.0
Rebalance,Rebal_R1,2025,-17.4,17.4
Rebalance,Rebal_R1,2026Q12,-13.3,13.3
Rebalance,Rebal_R5,2021,77.9,0.0
Rebalance,Rebal_R5,2022,-59.2,59.2
Rebalance,Rebal_R5,2023,118.4,0.0
Rebalance,Rebal_R5,2024,30.0,0.0
Rebalance,Rebal_R5,2025,-30.2,30.2
Rebalance,Rebal_R5,2026Q12,-20.4,20.4
Rebalance,Rebal_R6,2021,63.8,0.0
Rebalance,Rebal_R6,2022,-40.2,40.2
Rebalance,Rebal_R6,2023,74.0,0.0
Rebalance,Rebal_R6,2024,23.4,0.0
Rebalance,Rebal_R6,2025,-16.9,16.9
Rebalance,Rebal_R6,2026Q12,-12.2,12.2
DynRebal,Dyn_P10,2021,77.6,0.0
DynRebal,Dyn_P10,2022,-58.9,58.9
DynRebal,Dyn_P10,2023,119.6,0.0
DynRebal,Dyn_P10,2024,31.3,0.0
DynRebal,Dyn_P10,2025,-29.8,29.8
DynRebal,Dyn_P10,2026Q12,-20.0,20.0
DynRebal,Dyn_P20,2021,87.8,0.0
DynRebal,Dyn_P20,2022,-58.7,58.7
DynRebal,Dyn_P20,2023,114.5,0.0
DynRebal,Dyn_P20,2024,30.6,0.0
DynRebal,Dyn_P20,2025,-27.9,27.9
DynRebal,Dyn_P20,2026Q12,-20.3,20.3
DynRebal,Dyn_P30,2021,87.5,0.0
DynRebal,Dyn_P30,2022,-58.1,58.1
DynRebal,Dyn_P30,2023,113.3,0.0
DynRebal,Dyn_P30,2024,35.1,0.0
DynRebal,Dyn_P30,2025,-28.4,28.4
DynRebal,Dyn_P30,2026Q12,-19.7,19.7
DynRebal,Dyn_REG,2021,57.5,0.0
DynRebal,Dyn_REG,2022,-42.4,42.4
DynRebal,Dyn_REG,2023,77.0,0.0
DynRebal,Dyn_REG,2024,26.8,0.0
DynRebal,Dyn_REG,2025,-23.5,23.5
DynRebal,Dyn_REG,2026Q12,-13.2,13.2
DynRebal,Dyn_RSI,2021,65.7,0.0
DynRebal,Dyn_RSI,2022,-60.7,60.7
DynRebal,Dyn_RSI,2023,119.4,0.0
DynRebal,Dyn_RSI,2024,34.9,0.0
DynRebal,Dyn_RSI,2025,-30.1,30.1
DynRebal,Dyn_RSI,2026Q12,-20.4,20.4
3Layer,L3_AGGR_BL,2021,52.8,40.8
3Layer,L3_AGGR_BL,2022,-45.8,55.9
3Layer,L3_AGGR_BL,2023,135.6,4.8
3Layer,L3_AGGR_BL,2024,22.7,22.0
3Layer,L3_AGGR_BL,2025,-23.9,38.1
3Layer,L3_AGGR_BL,2026Q12,-17.6,24.1
3Layer,L3_AGGR_WG,2021,48.3,42.5
3Layer,L3_AGGR_WG,2022,-46.0,55.9
3Layer,L3_AGGR_WG,2023,83.8,6.7
3Layer,L3_AGGR_WG,2024,9.4,22.0
3Layer,L3_AGGR_WG,2025,-19.0,38.2
3Layer,L3_AGGR_WG,2026Q12,-18.7,24.1
3Layer,L3_AGGR_TG,2021,45.9,44.0
3Layer,L3_AGGR_TG,2022,-48.2,56.1
3Layer,L3_AGGR_TG,2023,109.9,4.8
3Layer,L3_AGGR_TG,2024,35.0,21.4
3Layer,L3_AGGR_TG,2025,-27.1,38.2
3Layer,L3_AGGR_TG,2026Q12,-19.9,24.7
3Layer,L3_BAL_WG,2021,43.8,36.5
3Layer,L3_BAL_WG,2022,-38.0,47.9
3Layer,L3_BAL_WG,2023,69.0,5.7
3Layer,L3_BAL_WG,2024,8.6,18.9
3Layer,L3_BAL_WG,2025,-15.1,32.8
3Layer,L3_BAL_WG,2026Q12,-15.9,20.6
Adaptive,Ad_AGGR,2021,111.4,0.0
Adaptive,Ad_AGGR,2022,-52.8,52.8
Adaptive,Ad_AGGR,2023,45.8,0.0
Adaptive,Ad_AGGR,2024,49.3,0.0
Adaptive,Ad_AGGR,2025,8.6,0.0
Adaptive,Ad_AGGR,2026Q12,-16.2,16.2
Adaptive,Ad_BAL,2021,96.7,0.0
Adaptive,Ad_BAL,2022,-45.5,45.5
Adaptive,Ad_BAL,2023,34.7,0.0
Adaptive,Ad_BAL,2024,43.2,0.0
Adaptive,Ad_BAL,2025,8.3,0.0
Adaptive,Ad_BAL,2026Q12,-14.5,14.5
Adaptive,Ad_DEF,2021,78.8,0.0
Adaptive,Ad_DEF,2022,-39.7,39.7
Adaptive,Ad_DEF,2023,23.9,0.0
Adaptive,Ad_DEF,2024,37.3,0.0
Adaptive,Ad_DEF,2025,8.2,0.0
Adaptive,Ad_DEF,2026Q12,-11.9,11.9
Adaptive,Ad_AGGR_LO,2021,13.5,0.0
Adaptive,Ad_AGGR_LO,2022,-15.0,15.0
Adaptive,Ad_AGGR_LO,2023,53.8,0.0
Adaptive,Ad_AGGR_LO,2024,17.3,0.0
Adaptive,Ad_AGGR_LO,2025,17.8,0.0
Adaptive,Ad_AGGR_LO,2026Q12,-15.5,15.5
Shield,Sh_FAST,2021,9.5,24.5
Shield,Sh_FAST,2022,-28.3,28.3
Shield,Sh_FAST,2023,28.7,31.4
Shield,Sh_FAST,2024,-3.5,26.0
Shield,Sh_FAST,2025,-28.2,28.2
Shield,Sh_FAST,2026Q12,0.0,0.0
Shield,Sh_MED,2021,8.1,23.7
Shield,Sh_MED,2022,-27.1,27.1
Shield,Sh_MED,2023,41.6,25.5
Shield,Sh_MED,2024,-1.0,28.3
Shield,Sh_MED,2025,-22.1,25.7
Shield,Sh_MED,2026Q12,0.0,0.0
Shield,Sh_SLOW,2021,34.1,0.0
Shield,Sh_SLOW,2022,-34.1,34.1
Shield,Sh_SLOW,2023,38.7,23.4
Shield,Sh_SLOW,2024,-4.0,33.5
Shield,Sh_SLOW,2025,-37.7,37.7
Shield,Sh_SLOW,2026Q12,0.0,0.0
Shield,Sh_AGGR,2021,-10.2,26.4
Shield,Sh_AGGR,2022,-30.7,30.7
Shield,Sh_AGGR,2023,46.7,28.6
Shield,Sh_AGGR,2024,-6.7,31.8
Shield,Sh_AGGR,2025,-25.0,28.8
Shield,Sh_AGGR,2026Q12,0.0,0.0
Shield,Sh_DEF,2021,19.3,19.2
Shield,Sh_DEF,2022,-21.7,21.7
Shield,Sh_DEF,2023,35.0,21.2
Shield,Sh_DEF,2024,-1.1,24.1
Shield,Sh_DEF,2025,-17.8,20.8
Shield,Sh_DEF,2026Q12,0.0,0.0
DCA,DCA_V1,2021,-18.7,18.7
DCA,DCA_V1,2022,-66.7,66.7
DCA,DCA_V1,2023,116.7,0.0
DCA,DCA_V1,2024,15.0,0.0
DCA,DCA_V1,2025,-29.1,29.1
DCA,DCA_V1,2026Q12,-7.1,7.1
DCA,DCA_V5,2021,-17.8,17.8
DCA,DCA_V5,2022,-70.5,70.5
DCA,DCA_V5,2023,123.2,0.0
DCA,DCA_V5,2024,15.0,0.0
DCA,DCA_V5,2025,-37.0,37.0
DCA,DCA_V5,2026Q12,-15.0,15.0
